test_trial,precision,recall,f1,model
0,0.7647058823529411,0.21666666666666667,0.33766233766233766,ridg_wo_poly_100p
1,0.6103896103896104,0.5108695652173914,0.5562130177514794,ridg_wo_poly_100p
2,0.6666666666666666,0.023255813953488372,0.0449438202247191,ridg_wo_poly_100p
3,0.38095238095238093,0.26229508196721313,0.3106796116504854,ridg_wo_poly_100p
4,0.6549707602339181,0.9180327868852459,0.7645051194539249,ridg_wo_poly_100p
5,0.7837837837837838,0.3625,0.49572649572649574,ridg_wo_poly_100p
6,0.7333333333333333,0.616,0.6695652173913044,ridg_wo_poly_100p
7,0.6415094339622641,0.3434343434343434,0.4473684210526316,ridg_wo_poly_100p
8,0.6758241758241759,0.9389312977099237,0.7859424920127794,ridg_wo_poly_100p
9,0.6571428571428571,0.5348837209302325,0.5897435897435898,ridg_wo_poly_100p
10,0.6224489795918368,0.5213675213675214,0.5674418604651164,ridg_wo_poly_100p
11,0.5357142857142857,0.6944444444444444,0.6048387096774193,ridg_wo_poly_100p
12,0.6649214659685864,0.9694656488549618,0.7888198757763975,ridg_wo_poly_100p
13,0.4868421052631579,0.6166666666666667,0.5441176470588235,ridg_wo_poly_100p
14,0.5652173913043478,0.8041237113402062,0.6638297872340424,ridg_wo_poly_100p
15,0.7019867549668874,0.8760330578512396,0.7794117647058822,ridg_wo_poly_100p
16,0.5497382198952879,0.963302752293578,0.6999999999999998,ridg_wo_poly_100p
17,0.7142857142857143,0.10416666666666667,0.18181818181818182,ridg_wo_poly_100p
18,0.6938775510204082,0.35789473684210527,0.47222222222222215,ridg_wo_poly_100p
19,0.6296296296296297,0.952,0.7579617834394904,ridg_wo_poly_100p
20,0.65625,0.984375,0.7875,ridg_wo_poly_100p
21,0.46551724137931033,0.7012987012987013,0.5595854922279793,ridg_wo_poly_100p
22,0.6702127659574468,0.5727272727272728,0.6176470588235294,ridg_wo_poly_100p
23,0.6590909090909091,0.71900826446281,0.6877470355731226,ridg_wo_poly_100p
24,0.7647058823529411,0.8602941176470589,0.8096885813148789,ridg_wo_poly_100p
25,0.46956521739130436,0.782608695652174,0.5869565217391305,ridg_wo_poly_100p
26,0.7088607594936709,0.8235294117647058,0.761904761904762,ridg_wo_poly_100p
27,0.616822429906542,0.7951807228915663,0.6947368421052631,ridg_wo_poly_100p
28,0.5804195804195804,0.8137254901960784,0.6775510204081633,ridg_wo_poly_100p
29,0.8333333333333334,0.05154639175257732,0.0970873786407767,ridg_wo_poly_100p
30,0.6444444444444445,0.5420560747663551,0.5888324873096447,ridg_wo_poly_100p
31,0.5045871559633027,0.7142857142857143,0.5913978494623656,ridg_wo_poly_100p
32,0.6808510638297872,0.8495575221238938,0.7559055118110236,ridg_wo_poly_100p
33,0.6422764227642277,0.7247706422018348,0.6810344827586207,ridg_wo_poly_100p
34,0.47058823529411764,0.36363636363636365,0.41025641025641024,ridg_wo_poly_100p
35,0.6063829787234043,0.5757575757575758,0.5906735751295337,ridg_wo_poly_100p
36,0.4634146341463415,0.4418604651162791,0.45238095238095233,ridg_wo_poly_100p
37,0.375,0.07228915662650602,0.1212121212121212,ridg_wo_poly_100p
38,0.7769784172661871,0.7769784172661871,0.7769784172661871,ridg_wo_poly_100p
39,0.6326530612244898,0.34444444444444444,0.4460431654676259,ridg_wo_poly_100p
40,0.4057971014492754,0.6292134831460674,0.49339207048458156,ridg_wo_poly_100p
41,0.6287425149700598,0.8677685950413223,0.7291666666666666,ridg_wo_poly_100p
42,0.710691823899371,0.889763779527559,0.7902097902097902,ridg_wo_poly_100p
43,0.6,0.6605504587155964,0.62882096069869,ridg_wo_poly_100p
44,0.5064102564102564,0.8229166666666666,0.626984126984127,ridg_wo_poly_100p
45,0.5333333333333333,0.19753086419753085,0.2882882882882883,ridg_wo_poly_100p
46,0.6868131868131868,0.9124087591240876,0.7836990595611285,ridg_wo_poly_100p
47,0.8027210884353742,0.8082191780821918,0.8054607508532423,ridg_wo_poly_100p
